#(id,from,to,speed,planTime)
(23093,28,91,4, 1)
(27294,44,99,4, 1)
(48749,44,99,6, 1)
(21586,39,92,8, 1)
(27325,93,29,6, 1)
(42348,47,91,6, 1)
(44776,48,92,6, 1)
(12266,39,83,4, 1)
(50446,91,8,6, 1)
(34270,4,59,4, 1)
(30143,47,92,8, 1)
(14316,70,2,6, 1)
(37852,33,98,4, 1)
(19020,58,1,4, 1)
(34195,23,100,4, 1)
(14356,1,69,6, 1)
(34359,18,93,6, 1)
(43224,39,91,8, 1)
(20031,92,7,4, 1)
(30198,18,62,8, 1)
(43713,73,29,6, 1)
(50493,96,11,4, 1)
(15648,86,21,8, 1)
(23942,70,2,6, 1)
(27136,23,79,6, 1)
(30246,78,23,6, 1)
(34510,50,93,4, 1)
(34495,2,69,8, 1)
(27176,77,11,8, 1)
(34490,74,19,8, 1)
(46949,36,91,8, 1)
(34469,91,10,8, 1)
(23881,68,1,4, 1)
(30202,7,51,6, 1)
(34410,35,90,6, 1)
(41433,37,82,8, 1)
(30257,9,83,8, 1)
(30100,74,29,4, 1)
(37914,71,28,8, 1)
(27732,61,20,4, 1)
(38103,99,31,6, 1)
(33934,84,30,6, 1)
(20168,96,1,6, 1)
(21670,42,97,6, 1)
(18147,7,72,6, 1)
(27802,73,10,8, 1)
(18916,21,98,8, 1)
(18150,97,1,6, 1)
(33852,61,7,4, 1)
(33847,55,10,8, 1)
(29976,30,84,6, 1)
(15529,74,20,8, 1)
(17607,92,30,6, 1)
(31873,29,82,6, 1)
(27726,16,91,4, 1)
(41375,88,21,6, 1)
(30036,15,90,8, 1)
(50395,88,3,8, 1)
(31740,89,33,6, 1)
(45671,65,20,6, 1)
(34104,89,24,4, 1)
(12162,71,8,8, 1)
(34084,81,16,4, 1)
(42394,28,73,8, 1)
(18976,91,36,6, 1)
(15572,74,29,6, 1)
(34059,82,9,6, 1)
(27611,39,92,8, 1)
(12094,78,11,4, 1)
(48961,86,31,8, 1)
(39853,90,13,8, 1)
(12080,36,91,6, 1)
(33987,53,10,6, 1)
(17612,95,20,8, 1)
(33827,5,90,8, 1)
(17074,94,19,6, 1)
(44755,74,9,8, 1)
(37462,64,20,6, 1)
(48377,71,28,4, 1)
(41527,72,20,6, 1)
(16090,99,31,6, 1)
(24152,32,90,8, 1)
(26714,90,4,6, 1)
(30412,19,71,4, 1)
(50622,89,33,6, 1)
(34947,20,92,6, 1)
(26728,90,25,4, 1)
(40146,17,81,8, 1)
(40108,76,21,8, 1)
(48441,54,10,4, 1)
(12597,84,39,8, 1)
(21405,61,20,4, 1)
(26650,80,23,6, 1)
(45559,78,11,6, 1)
(30447,53,10,6, 1)
(10352,34,100,8, 1)
(26442,56,1,8, 1)
(26449,94,40,4, 1)
(13971,99,23,6, 1)
(24329,4,59,8, 1)
(43361,16,71,6, 1)
(30505,91,20,8, 1)
(40228,61,7,6, 1)
(30499,73,20,4, 1)
(16980,10,53,8, 1)
(19918,76,11,6, 1)
(42176,4,69,4, 1)
(37354,16,71,8, 1)
(40720,62,9,4, 1)
(26535,38,92,8, 1)
(16996,12,87,8, 1)
(30449,6,81,6, 1)
(27090,64,10,8, 1)
(15716,11,88,8, 1)
(48457,40,93,6, 1)
(48587,75,20,4, 1)
(19129,84,10,6, 1)
(50546,61,18,6, 1)
(47000,98,23,8, 1)
(27012,25,80,4, 1)
(46996,99,24,8, 1)
(17062,75,30,4, 1)
(34641,29,83,6, 1)
(45610,97,22,4, 1)
(42293,55,10,4, 1)
(20000,68,12,8, 1)
(44265,76,1,4, 1)
(10489,83,28,6, 1)
(48616,26,81,8, 1)
(27080,97,32,4, 1)
(40023,5,80,8, 1)
(15715,86,11,4, 1)
(14179,86,11,6, 1)
