#(id,from,to,speed,planTime)
(24000,85,10,8, 68)
(19156,38,92,8, 68)
(11188,51,6,6, 68)
(34894,12,87,4, 68)
(42235,42,97,4, 68)
(34916,70,11,8, 68)
(42116,86,21,6, 68)
(34926,76,11,8, 68)
(30215,13,100,4, 68)
(30862,73,28,8, 68)
(34933,99,41,8, 68)
(19435,66,11,4, 68)
(19431,91,28,6, 68)
(11136,38,92,8, 68)
(11142,7,81,4, 68)
(11195,23,99,4, 68)
(34647,47,91,8, 68)
(41914,87,32,8, 68)
(41907,69,11,6, 68)
(30253,34,100,8, 68)
(18864,60,3,8, 68)
(18875,63,9,6, 68)
(34818,99,33,4, 68)
(18891,15,90,6, 68)
(18922,53,8,4, 68)
(10228,11,90,4, 68)
(10230,71,8,6, 68)
(37554,83,28,8, 68)
(23984,52,7,4, 68)
(25419,77,12,8, 68)
(30248,60,1,4, 68)
(18990,69,3,4, 68)
(32684,70,13,4, 68)
(19544,82,9,8, 68)
(42318,35,90,6, 68)
(41495,9,93,8, 68)
(41470,49,93,4, 68)
(43109,63,20,6, 68)
(11498,71,29,8, 68)
(49558,7,91,6, 68)
(17433,87,2,6, 68)
(33709,78,13,8, 68)
(30119,56,1,4, 68)
(17481,78,1,8, 68)
(17489,42,100,6, 68)
(34422,39,82,8, 68)
(43804,46,91,4, 68)
(20540,21,79,4, 68)
(43780,64,19,8, 68)
(30967,74,10,4, 68)
(35290,55,10,6, 68)
(49592,17,82,8, 68)
(37784,31,89,4, 68)
(49555,16,81,4, 68)
(43734,29,74,6, 68)
(27242,93,50,6, 68)
(26322,79,21,8, 68)
(30397,2,100,6, 68)
(37833,78,3,6, 68)
(17225,54,10,4, 68)
(34341,80,25,6, 68)
(24375,5,90,6, 68)
(40779,89,2,4, 68)
(24368,11,89,6, 68)
(40781,66,1,8, 68)
(23816,54,10,6, 68)
(40807,6,91,8, 68)
(34373,74,30,6, 68)
(17347,97,11,8, 68)
(27251,18,71,8, 68)
(23819,97,32,6, 68)
(40853,100,5,4, 68)
(31501,93,30,6, 68)
(17138,68,13,8, 68)
(30334,88,12,4, 68)
(31522,82,40,4, 68)
(17932,6,51,6, 68)
(43396,58,1,4, 68)
(17970,74,19,8, 68)
(34560,11,96,8, 68)
(43360,70,5,4, 68)
(25459,31,100,4, 68)
(30158,54,10,8, 68)
(27095,50,91,6, 68)
(11385,64,9,6, 68)
(11360,77,1,4, 68)
(27076,76,1,8, 68)
(20139,37,92,8, 68)
(35166,76,11,4, 68)
(35158,99,22,4, 68)
(43187,43,99,6, 68)
(11396,24,80,4, 68)
(35264,5,100,4, 68)
(17917,78,3,6, 68)
(17880,11,69,6, 68)
(17725,31,86,4, 68)
(41085,33,99,8, 68)
(17740,87,11,6, 68)
(26411,8,52,6, 68)
(17753,41,100,4, 68)
(17768,74,9,8, 68)
(41108,59,3,8, 68)
(26436,86,21,4, 68)
(43545,53,10,6, 68)
(35229,46,91,4, 68)
(29007,53,8,4, 68)
(20340,31,87,4, 68)
(29169,2,100,8, 68)
(29400,44,99,6, 68)
(24247,66,11,4, 68)
(27140,46,91,6, 68)
(39552,47,92,8, 68)
(26735,42,97,4, 68)
(13748,19,62,6, 68)
(14498,36,81,6, 68)
(32914,38,92,6, 68)
(36729,80,14,8, 68)
(10034,58,3,8, 68)
(23040,59,1,6, 68)
(46750,29,92,8, 68)
(38171,81,7,8, 68)
(35942,71,7,4, 68)
(13516,56,1,8, 68)
(47648,17,92,6, 68)
(46781,32,87,6, 68)
(33009,42,98,6, 68)
(48139,72,9,8, 68)
(14408,39,93,8, 68)
(22164,88,11,6, 68)
(22729,7,72,8, 68)
(14405,90,21,6, 68)
(12830,86,21,4, 68)
